Replicacao,Exame,Eh_Warmup,01 - Organizar pedidos - TempoEmFila,01 - Organizar pedidos - TempoEmProcessamento,02 - Avaliar prioridade - TempoEmFila,02 - Avaliar prioridade - TempoEmProcessamento,03 - Agendar exame - TempoEmFila,03 - Agendar exame - TempoEmProcessamento,04 - Informar pré-requisitos - TempoEmFila,04 - Informar pré-requisitos - TempoEmProcessamento,05 - Preparar paciente - TempoEmFila,05 - Preparar paciente - TempoEmProcessamento,06 - Transportar paciente - TempoEmFila,06 - Transportar paciente - TempoEmProcessamento,07 - Avaliação de realização de exame - TempoEmFila,07 - Avaliação de realização de exame - TempoEmProcessamento,10 - Realizar exame no hospital - TempoEmFila,10 - Realizar exame no hospital - TempoEmProcessamento,11 - Atualizar MV - TempoEmFila,11 - Atualizar MV - TempoEmProcessamento,12 - Retorno do paciente ao PS - TempoEmFila,12 - Retorno do paciente ao PS - TempoEmProcessamento,13 - Analisar exame urgente - TempoEmFila,13 - Analisar exame urgente - TempoEmProcessamento,14 - Analisar exame não urgente - TempoEmFila,14 - Analisar exame não urgente - TempoEmProcessamento,Tempo total em fila,Tempo total em processamento,TempoNoSistema
1,34,True,0.0,1.1331074233431764,0.0,1.0752046904003407,0.0,0.0,0.0,19.88775095462961,0.7454694598356753,17.189021181914256,8.193080646497094,15.612849654209839,4.981194486952063,11.690155123804203,0.7481350401345139,2.2497358984695666,0.0,2.8484661015271513,0.045995099474936296,13.117587288331919,0.0,71.28462960877891,0.0,0.0,14.713874732894283,156.08850792540898,170.80238265830326
1,35,True,0.5580346244937289,1.0853097551792388,1.0456974914590802,1.0178686986613457,0.0,0.0,0.0,26.01660971751062,0.23055600565221823,14.125679668077609,11.025752093315731,12.48576619685764,1.3114908609091458,24.469561793485184,0.15471401970955867,1.6369058504194243,0.0,3.1250073547104478,0.365751017083511,21.3195215913546,0.0,38.22754437039157,0.0,0.0,14.691996112622974,143.50977499664768,158.20177110927065
1,36,True,0.1643706657115871,1.0456974914590802,1.0178686986613457,1.3301316506220502,0.0,0.0,0.0,13.443748295836471,2.39885969188083,24.19677418730521,11.699308760035933,19.01644404064396,0.938061717948699,20.563106757093095,0.8273500559074307,5.865161280285321,0.0,4.153781443851983,0.24874835400430584,14.666609313310659,0.0,53.354874971316406,0.0,0.0,17.29456794415013,157.63632943172422,174.93089737587434
1,37,True,0.0,1.1312370999414156,0.0,1.0280407478760054,0.0,0.0,0.0,19.49668430532421,0.11604511833401432,15.345205933207751,13.182689923923164,25.205914668385248,2.5354321204396797,18.80146422491339,0.26972748415263936,2.5844179245031,0.0,3.039494446736967,0.04204643166261235,19.860595612726456,0.0,82.0740931338405,0.0,0.0,16.14594107851211,188.56714809745506,204.71308917596718
1,38,True,0.0,1.2489665194414243,0.0,1.2466550576756248,0.0,0.0,0.6929717721010036,15.467343868843471,1.1875854850276824,10.98586810607614,11.661396059774944,19.857712073625407,0.07684645429554848,10.994130127574863,0.5942072333676265,1.596430299129139,0.0,4.202476202370605,0.5050216187633794,21.936488509485685,0.0,81.99921263677109,0.0,0.0,14.718028623330184,169.53528340099345,184.25331202432363
1,39,True,0.0,1.0799921282317229,0.0,1.123172803363417,0.0,0.0,0.12408881111821302,21.591572318246193,0.13322535361106702,20.63989548449237,14.958089765382454,17.538312570934494,0.5888961514735058,17.23187719575421,0.7036371378627848,0.7075626945389786,0.0,2.3714842720950458,0.6379203847916415,21.6920336436352,0.0,60.277017253373714,0.0,0.0,17.145857604239666,164.25292036466533,181.398777968905
1,40,True,0.0,1.163316613359342,0.0,1.4254500674587973,0.0,0.0,0.1318964087545993,15.469408653492764,3.7222163635358356,16.744635749688058,17.677029597715972,18.104689096252486,0.03645401402471293,20.10674408904299,0.2685731784130496,2.049120217193405,0.0,2.067893437962937,0.22898446209333656,20.940943169193275,0.0,86.62243214394587,0.0,0.0,22.065154024537506,184.69463323758993,206.75978726212742
1,41,True,0.0,1.2616187422715797,0.0,1.216207247956703,0.0,0.0,0.2410562642098455,13.265627780250753,0.9194650378511824,20.82913370048226,2.574226130190084,19.93813359517779,1.4566719421489154,24.45600806357092,0.8855911552570319,3.1978420526381797,0.0,2.7772232948831856,1.416576689031217,26.515067427378227,0.0,55.558062699939825,0.0,0.0,7.493587218688276,169.01492460454944,176.5085118232377
1,42,True,0.0,1.0894561855446199,0.0,1.3031006429042549,0.0,0.0,1.918124096855891,17.540523341683098,3.1474886010917658,24.29911462850731,18.374058627100226,13.450107864187203,3.4592677162519294,21.900422864287094,0.9178826161577547,1.0294432625991305,0.0,3.7187136614833776,0.056523813773992515,21.295107308183702,0.0,64.80714712017027,0.0,0.0,27.87334547123156,170.43313687955006,198.3064823507816
1,43,True,0.0,1.1443099376855912,0.0,1.0957497098713276,0.0,30.25947359794951,2.457720240251291,19.060208538308757,2.5433424430234197,14.007770762489145,33.89172210133154,19.172277539298932,2.5191869201505597,20.480796143141788,0.3579454728330802,3.340958720629203,0.0,3.1730739814419167,0.18131173717449656,22.451590540410223,0.0,0.0,0.0,355.05151116869,41.951228914764386,489.2377206399164,531.1889495546808
1,44,True,0.0,1.0347985278895209,0.0,1.1224024117791203,0.0,0.0,2.2740243383618264,22.10288934721794,0.44535089590598886,17.911648360421026,12.885148407630396,25.519149199972958,1.7717853956829686,24.684612358865053,0.043029982079843876,6.00540922692187,0.0,1.9391685452976049,0.1113753269239055,11.714839177904764,0.0,49.02296757204812,0.0,0.0,17.53071434658493,161.05788472831796,178.5885990749029
1,45,True,0.0,1.015059923125051,0.0,1.3737349843390518,0.0,0.0,1.5120075634697088,12.081057056560837,0.5608704154613235,17.334363707921,14.85479837560922,11.667778601541642,3.411536976340102,23.200564294834123,0.6816409210858296,7.808771953426401,0.0,3.7333242060005603,1.1876291071105243,10.012216695673004,0.0,58.58666548316546,0.0,0.0,22.20848335907671,146.81353690658713,169.02202026566385
1,46,True,0.0,1.146903566749046,0.0,1.1317608417818121,0.0,0.0,0.162671340200518,22.0833861259581,0.4553477401341297,25.93724853809718,31.013304849450464,13.591415678083564,3.06733455023533,15.242422374429822,0.38639688470684064,2.235290561362376,0.0,3.380707567096266,0.49122093156989877,10.456001681678998,0.0,73.36088100410763,0.0,0.0,35.57627629629718,168.5660179393448,204.14229423564197
1,47,True,0.0,1.2818923156752646,0.0,1.2813846700896931,0.0,0.0,0.26488891336538245,17.572895263426204,0.07583185695807515,22.580120090533114,17.35365179029398,22.24742279177289,3.0338211574589593,17.311540712203453,0.10729744135733199,2.6426281431296275,0.0,3.662388547267824,0.06936309257375228,22.869339580901283,0.0,56.21280729595128,0.0,0.0,20.904854252007482,167.66241941095063,188.56727366295812
1,48,True,0.0,1.011587033355056,0.0,1.0504232266055453,0.0,0.0,0.8273955182121426,15.760542888978847,0.033519296313812674,14.497065089850707,20.021646947940468,24.373349646227012,1.3406372927267114,20.51735329683666,1.2407689055609978,2.145371351923359,0.0,1.5353003330117758,0.041326127258969336,12.18707450705972,0.0,86.42412318081838,0.0,0.0,23.505294088013102,179.50219055466707,203.00748464268017
1,49,True,0.0,1.2176268321032353,0.0,1.0840687856304214,0.0,0.0,0.00468375409676014,22.43296916355223,5.721894294137286,20.704832238497772,34.447075150164494,27.106202405692102,0.2115271278010198,17.705900841420515,0.47418094552892853,2.3972055840537223,0.0,3.5372349071718645,0.30458446954395413,18.64771216127457,0.0,67.7649820929064,0.0,0.0,41.16394574127244,182.59873501230282,223.76268075357527
1,50,True,0.0,1.1162406493846788,0.0,1.1764700366704801,0.0,0.0,0.2847261178431211,16.982441678727923,2.1243379536318514,19.061956658254758,40.80807913212158,20.128707844812624,1.118949341011728,18.897450676561874,0.14814699908600915,0.6568873191706643,0.0,3.0137597889312246,1.940145733244492,9.425639598351154,0.0,70.02284240753295,0.0,0.0,46.42438527693878,160.48239665839833,206.9067819353371
1,51,True,0.0,1.3229877593240928,0.0,1.281969439368197,0.0,0.0,0.2569446378783482,19.200268422090886,6.229967299684546,12.824831280365146,41.516324783900245,20.166349918085814,4.188976417486742,10.214267761164535,0.21671675585230332,0.4967925172858827,0.0,4.616059125449283,0.739636134753141,9.887477159369496,0.0,43.33128890273906,0.0,0.0,53.148566029555326,123.3422922852424,176.49085831479772
1,52,True,0.0,1.039126926809132,0.0,1.248815541505536,0.0,31.38009851337165,0.3621896494033763,19.16392736679566,3.565787975698612,14.04629460668366,17.641354637624516,22.117588239625263,1.471078170397277,17.29727316399294,0.5142283229737359,1.9662453246253904,0.0,2.784285067158578,1.6631671609855516,20.343230056403627,0.0,0.0,0.0,370.502725377158,25.21780591708307,501.8896101841294,527.1074161012125
1,53,True,0.0,1.138037156524632,0.0,1.271018397151721,0.0,34.400349429207296,4.032666857540363,11.83975792956494,6.011833336555384,14.22675102100743,13.538925981214476,19.403696094274125,0.4292454288468832,14.444010974458052,1.221022309890202,0.10887898783494165,0.0,4.05158623632957,0.4651513862516481,25.155425382933743,0.0,0.0,0.0,468.9835872687262,25.698845300298956,595.0230988780127,620.7219441783116
1,54,True,0.0,1.1387346066949249,0.0,1.3372256204847304,0.0,0.0,1.098478500865184,12.340113191305107,1.2971169699584095,14.80491525879114,36.12450318994337,21.05146003832502,3.1835972740206273,24.087071446767027,0.07812235370164444,1.0918907307515724,0.0,1.8831989383549512,0.806531756313575,19.236008316654818,0.0,75.82210420123914,0.0,0.0,42.58835004480281,172.79272234936843,215.38107239417124
1,55,True,0.0,1.3510740545347915,0.0,1.2192610868800955,0.0,0.0,0.6897308609231914,18.212749740759875,2.455820478368878,19.474012888695,32.34246319113251,15.640613897435856,3.51269151617916,7.356336467553149,0.394041347670111,3.0704569733869675,0.0,3.391777110753708,0.20117366536180725,17.665085499984627,0.0,68.40166822762365,0.0,0.0,39.59592105963566,155.78303594760771,195.37895700724337
1,56,True,0.0,1.2693913314535337,0.0,1.0539527327492237,0.0,0.0,0.5254164316995116,14.57057257651985,1.5419569606254129,12.759066448589806,34.8045605462236,13.01745189808426,0.14649879901895702,23.136408773598816,0.2802252171190389,1.760070685297876,0.0,3.725722923887872,0.122669701316795,21.241756377983563,0.0,60.643684800587664,0.0,0.0,37.421327656003314,153.17807854875247,190.59940620475578
1,57,True,0.0,1.1484561807494629,0.0,1.1639069314946084,0.0,0.0,0.5664984419696282,20.581524715382074,0.24646182440406506,17.584880398354017,30.495426972034295,16.460767148737972,3.553676117059865,24.029791710989684,0.07340006051066439,2.251504276835419,0.0,3.8951455444062617,0.2459767692471928,21.073030425301056,0.0,101.62661623357906,0.0,0.0,35.18144018522571,209.8156235658296,244.99706375105532
